Operation_ID,Equivalence_Group,Input_Size_N,Energy_Consumed_kWh,Execution_Time_sec,CO2_Emissions_g,Repeats_In_Window,Run_Mode
G3_B_Map,G3_Transformation,10000,1.5138904862027552e-05,1.2259237000253052,0.0108007154236698,1000,offline
G3_C_ListComp,G3_Transformation,10000,6.808418426677197e-06,0.5775794999790378,0.004857404850747007,1000,offline
G3_A_ManualLoop,G3_Transformation,100000,7.950626340985194e-06,0.8436476000351831,0.005672302807338818,100,offline
G3_B_Map,G3_Transformation,100000,1.5256358058229734e-05,1.3226743999985047,0.010884511349421479,100,offline
G3_C_ListComp,G3_Transformation,100000,7.602130877149731e-06,0.7622305999975652,0.005423671855124581,100,offline
G3_A_ManualLoop,G3_Transformation,1000000,1.8262621391093426e-05,1.1768668000004254,0.013029302867883084,10,offline
G3_B_Map,G3_Transformation,1000000,9.462739617957102e-06,1.709845800010953,0.0067511064157749325,10,offline
G3_C_ListComp,G3_Transformation,1000000,8.41102929055589e-06,0.9485666999826208,0.006000773148083484,10,offline
G4_A_Recursive,G4_Recursion,10,4.571261162789949e-06,0.05166940001072362,0.003261325135242024,50000,offline
G4_B_Iterative,G4_Recursion,10,4.463408424573507e-06,0.03378110000630841,0.0031843785698361473,50000,offline
G4_A_Recursive,G4_Recursion,50,5.7265508951415915e-06,0.319428600021638,0.0040855561971807125,50000,offline
G4_B_Iterative,G4_Recursion,50,5.377832994396429e-06,0.24564590002410114,0.003836766549355183,50000,offline
G4_A_Recursive,G4_Recursion,100,7.93100874730918e-06,0.8384189999778755,0.005658306811689008,50000,offline
G4_B_Iterative,G4_Recursion,100,6.3215682796548306e-06,0.4636647999868728,0.004510065995005222,50000,offline
G4_A_Recursive,G4_Recursion,500,3.123927794624809e-05,9.833565199980512,0.022287381697249184,50000,offline
G4_B_Iterative,G4_Recursion,500,2.0171112861756562e-05,5.447315700002946,0.014390898931204463,50000,offline
G5_A_ListLookup,G5_Membership,1000,5.078984871941883e-06,0.1752336000208743,0.003623556046023089,10000,offline
G5_B_SetLookup,G5_Membership,1000,4.321615350352808e-06,0.0005926000303588808,0.0030832175771710576,10000,offline
G5_A_ListLookup,G5_Membership,10000,4.9446022301778726e-06,0.14458640001248568,0.0035276819597003313,1000,offline
G5_B_SetLookup,G5_Membership,10000,4.3204579163323586e-06,7.049995474517345e-05,0.003082391816286074,1000,offline
G5_A_ListLookup,G5_Membership,100000,4.947751609738315e-06,0.1455697999917902,0.0035299288562033134,100,offline
G5_B_SetLookup,G5_Membership,100000,4.335349755233363e-06,8.700008038431406e-06,0.0030930162647234455,100,offline
G5_A_ListLookup,G5_Membership,1000000,4.951310708148992e-06,0.1473837000085041,0.003532468062932525,10,offline
G5_B_SetLookup,G5_Membership,1000000,4.324660089348522e-06,1.279998105019331e-05,0.003085389818804899,10,offline
G6_A_StringConcat,G6_StringBuilding,1000,8.891237626625993e-06,1.5669116000062786,0.006343373463577675,10000,offline
G6_B_StringJoin,G6_StringBuilding,1000,4.65374446375758e-06,0.07274699996924028,0.003320172103967672,10000,offline
G6_A_StringConcat,G6_StringBuilding,10000,1.4824865593426402e-05,2.394903299980797,0.010576666933839726,1000,offline
G6_B_StringJoin,G6_StringBuilding,10000,4.646543772031436e-06,0.07292830001097172,0.00331503483526188,1000,offline
G6_A_StringConcat,G6_StringBuilding,100000,9.781171931612283e-06,1.7782189000281505,0.006978289084061399,100,offline
G6_B_StringJoin,G6_StringBuilding,100000,4.638522926690164e-06,0.07482149999123067,0.0033093124353407574,100,offline
G6_B_StringJoin,G6_StringBuilding,1000000,4.662520483142675e-06,0.07907899998826906,0.003326433276013793,10,offline
G7_A_ListPop0,G7_QueueOps,1000,4.479519399563677e-06,0.037695600010920316,0.0031958727999441094,200,offline
G7_B_DequePopleft,G7_QueueOps,1000,4.3821984641069494e-06,0.014930599951185286,0.0031264400544309258,200,offline
G7_A_ListPop0,G7_QueueOps,10000,9.41794656649281e-06,1.6889667000505142,0.006719149216345197,20,offline
G7_B_DequePopleft,G7_QueueOps,10000,4.367809669517361e-06,0.010259900009259582,0.0031161744984301355,20,offline
G7_A_ListPop0,G7_QueueOps,100000,1.4158615775264679e-05,2.626764499989804,0.010101336997320609,3,offline
G7_B_DequePopleft,G7_QueueOps,100000,4.384200510145827e-06,0.011100800009444356,0.0031278683961589488,3,offline
G7_B_DequePopleft,G7_QueueOps,1000000,5.073196140621435e-06,0.17367699998430908,0.003619426127761097,3,offline
G8_A_ManualDict,G8_ConditionalLookup,1000,1.5386864091976192e-05,1.3757687999750488,0.010977619704643587,10000,offline
G8_B_DefaultDict,G8_ConditionalLookup,1000,1.490342607528483e-05,1.2080473999958485,0.010632715202577284,10000,offline
G8_A_ManualDict,G8_ConditionalLookup,10000,1.9241795036264193e-05,1.3983003000030294,0.013727885492467362,1000,offline
G8_B_DefaultDict,G8_ConditionalLookup,10000,1.516238839677253e-05,1.2830098000122234,0.01081746954018179,1000,offline
G8_A_ManualDict,G8_ConditionalLookup,100000,1.5397110842745554e-05,1.364444300008472,0.01098493015675923,100,offline
G8_B_DefaultDict,G8_ConditionalLookup,100000,1.5485206913077517e-05,1.3376301999669522,0.011047781505272936,100,offline
G8_A_ManualDict,G8_ConditionalLookup,1000000,1.5910356486262952e-05,1.4523251000209711,0.011351100641915928,10,offline
G8_B_DefaultDict,G8_ConditionalLookup,1000000,1.9319530791088548e-05,1.4083127999911085,0.013783345367125005,10,offline
G9_A_IfElse,G9_LoopConstructs,1000,8.360855648335845e-06,0.9276939000119455,0.005964977214604373,10000,offline
G9_B_While,G9_LoopConstructs,1000,1.4490539432354772e-05,1.041426500014495,0.010338144943158621,10000,offline
G9_C_DoWhile,G9_LoopConstructs,1000,1.4413023098555936e-05,1.0308780000195839,0.010282841612456845,10000,offline
G9_A_IfElse,G9_LoopConstructs,10000,8.345368102986276e-06,0.933837799995672,0.005953927764762631,1000,offline
G9_B_While,G9_LoopConstructs,10000,1.4481696715988944e-05,1.039961900038179,0.010331836186751868,1000,offline
G9_C_DoWhile,G9_LoopConstructs,10000,1.4598028403145384e-05,1.0561516000307165,0.010414831981968445,1000,offline
G9_A_IfElse,G9_LoopConstructs,100000,1.4538584360581464e-05,1.049301800027024,0.0103724221647976,100,offline
G9_B_While,G9_LoopConstructs,100000,1.8166274519769576e-05,1.1628658999688923,0.012960565059658926,100,offline
G9_C_DoWhile,G9_LoopConstructs,100000,1.4748993977517676e-05,1.1146325999870896,0.010522537012314188,100,offline
G9_A_IfElse,G9_LoopConstructs,1000000,1.4451158783683912e-05,1.0353921999922022,0.010310049173790234,10,offline
G9_B_While,G9_LoopConstructs,1000000,1.4617723696912079e-05,1.0943305999971926,0.01042888341204865,10,offline
G9_C_DoWhile,G9_LoopConstructs,1000000,1.4774229300139412e-05,1.1476044000010006,0.010540540926120763,10,offline
